Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
GOOGL,0.2,0.18,0.2,0.2,0.2
META,0.18,0.16,0.2,0.2,0.2
NFLX,0.12,0.12,0.12,0.12,0.12
TMUS,0.08,0.08,0.08,0.08,0.08
EA,0.06,0.04,0.05,0.05,0.04
TTWO,0.06,0.03,0.05,0.03,0.04
VZ,0.05,0.06,0.04,0.04,0.04
CMCSA,0.05,0.05,0.06,0.06,0.06
T,0.05,0.02,0.03,0.03,0.03
DIS,0.04,0.1,0.08,0.08,0.08
CHTR,0.03,0.04,0.04,0.04,0.04
LYV,0.02,0.01,0.0,0.01,0.0
MTCH,0.02,0.01,0.0,0.002,0.005
OMC,0.02,0.02,0.0,0.005,0.01
IPG,0.02,0.01,0.0,0.003,0.005
PARA,0.0,0.02,0.015,0.02,0.02
WBD,0.0,0.02,0.015,0.015,0.015
FOXA,0.0,0.02,0.01,0.01,0.01
FOX,0.0,0.01,0.005,0.005,0.005
NWSA,0.0,0.0,0.005,0.0,0.0
