Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMZN,0.18,0.18,0.18,0.17475728155339804,0.15
TSLA,0.12,0.12,0.12,0.11650485436893203,0.12
HD,0.1,0.1,0.1,0.0970873786407767,0.08
NKE,0.08,0.08,0.08,0.07766990291262135,0.06
MCD,0.07,0.04,0.07,0.0679611650485437,0.05
BKNG,0.06,0.07,0.06,0.04854368932038835,0.05
LOW,0.05,0.06,0.05,0.058252427184466014,0.04
SBUX,0.04,0.04,0.04,0.04854368932038835,0.04
LULU,0.04,0.05,0.04,0.019417475728155338,0.04
CMG,0.04,0.05,0.04,0.038834951456310676,0.04
TJX,0.03,0.03,0.03,0.038834951456310676,0.05
ORLY,0.03,0.04,0.03,0.029126213592233007,0.03
AZO,0.03,0.03,0.03,0.029126213592233007,0.03
ABNB,0.03,0.03,0.03,0.038834951456310676,0.05
YUM,0.02,0.02,0.02,0.029126213592233007,0.03
ROST,0.02,0.02,0.02,0.029126213592233007,0.03
ULTA,0.02,0.02,0.02,0.019417475728155338,0.03
DPZ,0.02,0.01,0.02,0.019417475728155338,0.04
F,0.01,0.01,0.01,0.009708737864077669,0.02
GM,0.01,0.0,0.01,0.009708737864077669,0.02
