Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
XOM,0.12,0.12,0.15,0.15,0.12
CVX,0.1,0.1,0.12,0.12,0.11
COP,0.08,0.09,0.08,0.08,0.09
KMI,0.04,0.04,0.03,0.05,0.05
WMB,0.03,0.04,0.02,0.05,0.04
OKE,0.03,0.04,0.05,0.05,0.05
TRGP,0.03,0.05,0.05,0.05,0.04
MPC,0.07,0.08,0.08,0.07,0.09
VLO,0.01,0.03,0.05,0.05,0.05
PSX,0.06,0.07,0.06,0.03,0.06
EOG,0.07,0.09,0.07,0.07,0.09
FANG,0.06,0.07,0.06,0.04,0.03
DVN,0.05,0.08,0.05,0.05,0.03
CTRA,0.04,0.015,0.04,0.02,0.02
SLB,0.05,0.03,0.03,0.05,0.06
BKR,0.04,0.02,0.02,0.03,0.02
HAL,0.02,0.02,0.0,0.02,0.02
OXY,0.04,0.01,0.04,0.02,0.015
HES,0.03,0.005,0.0,0.0,0.01
APA,0.03,0.0,0.0,0.0,0.005
