Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
V,0.12,0.12,0.12,0.12,0.12
MA,0.1,0.1,0.1,0.1,0.1
PYPL,0.08,0.08,0.08,0.05,0.06
COIN,0.05,0.05,0.05,0.03,0.04
JPM,0.1,0.1,0.1,0.1,0.1
BAC,0.08,0.06,0.06,0.08,0.06
WFC,0.04,0.04,0.04,0.04,0.04
USB,0.02,0.02,0.01,0.02,0.04
PNC,0.01,0.02,0.005,0.01,0.02
BRK.B,0.08,0.08,0.08,0.08,0.02
BLK,0.07,0.07,0.07,0.07,0.09
BX,0.03,0.05,0.05,0.05,0.06
GS,0.02,0.01,0.0,0.05,0.01
SPGI,0.05,0.05,0.06,0.05,0.05
ICE,0.04,0.04,0.04,0.04,0.04
CME,0.03,0.03,0.03,0.03,0.04
MCO,0.02,0.02,0.04,0.02,0.03
MSCI,0.01,0.01,0.05,0.01,0.05
SCHW,0.03,0.03,0.01,0.03,0.02
TFC,0.02,0.02,0.005,0.02,0.01
