Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LIN,0.12,0.15,0.12,0.12,0.12
SHW,0.1,0.08,0.08,0.08,0.08
APD,0.08,0.1,0.08,0.08,0.1
ECL,0.1,0.1,0.07,0.05,0.07
ALB,0.08,0.02,0.05,0.06,0.06
NUE,0.07,0.08,0.08,0.04,0.06
FCX,0.05,0.05,0.07,0.07,0.05
NEM,0.05,0.03,0.05,0.04,0.05
DOW,0.06,0.03,0.03,0.05,0.03
LYB,0.05,0.03,0.02,0.05,0.02
CF,0.05,0.04,0.04,0.04,0.04
VMC,0.04,0.07,0.08,0.05,0.05
PPG,0.03,0.04,0.03,0.06,0.04
MLM,0.03,0.05,0.07,0.04,0.05
DD,0.02,0.04,0.04,0.05,0.04
CTVA,0.02,0.03,0.03,0.03,0.03
BALL,0.02,0.03,0.0,0.03,0.04
MOS,0.01,0.03,0.03,0.03,0.03
EMN,0.01,,0.015,0.02,0.02
IFF,0.01,,0.015,0.01,0.02
