Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
EQIX,0.08,0.12,0.1,0.1,0.08
DLR,0.07,0.1,0.09,0.09,0.07
AMT,0.07,0.07,0.08,0.08,0.075
CCI,0.07,0.03,0.05,0.04,0.045
SBAC,0.06,0.03,0.03,0.04,0.03
PLD,0.2,0.15,0.15,0.2,0.12
INVH,0.06,0.08,0.07,0.06,0.05
MAA,0.05,0.05,0.05,0.05,0.045
EQR,0.05,0.04,0.04,0.05,0.04
AVB,0.04,0.03,0.04,0.04,0.045
PSA,0.05,0.03,0.03,0.08,0.04
EXR,0.04,0.02,0.02,0.07,0.04
WELL,0.04,0.07,0.06,0.03,0.07
VTR,0.02,0.03,0.04,0.02,0.05
O,0.04,0.03,0.03,0.015,0.06
SPG,0.03,0.05,0.03,0.02,0.04
KIM,0.015,0.02,0.02,0.01,0.02
BXP,0.01,0.01,0.01,0.005,0.02
HST,0.005,0.01,0.01,0.0,0.01
ARE,,0.03,0.05,0.0,0.05
