Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NEE,0.12,0.15,0.15,0.15,0.12
SRE,0.08,0.1,0.03,0.08,0.1
AEP,0.07,0.06,0.07,0.05,0.05
XEL,0.07,0.08,0.06,0.07,0.06
WEC,0.06,0.05,0.04,0.06,0.09
CEG,0.08,0.08,0.08,0.12,0.1
AWK,0.06,0.07,0.06,0.08,0.09
ES,0.06,0.05,0.05,0.05,0.05
VST,0.05,0.04,0.0,0.04,0.04
SO,0.05,0.04,0.1,0.04,0.04
DUK,0.05,0.04,0.1,0.04,0.04
D,0.04,0.03,0.08,0.03,0.03
ED,0.03,0.03,0.04,0.03,0.03
DTE,0.03,0.05,0.04,0.05,0.05
PPL,0.03,0.02,0.02,0.02,0.02
PEG,0.03,0.02,0.03,0.02,0.02
CMS,0.03,0.04,0.02,0.05,0.05
AEE,0.02,0.01,0.01,0.01,0.01
EVRG,0.02,0.01,0.01,0.01,0.01
PNW,0.02,0.03,0.01,,
