Stocks,Count,IsValid
MSFT,5,0
NVDA,5,0
AAPL,5,0
AVGO,3,0
CRM,4,0
LLY,4,0
UNH,5,0
JNJ,5,0
TMO,4,0
BRK.B,5,0
JPM,4,0
V,5,0
AMZN,5,0
COST,5,0
NKE,3,0
CAT,4,0
RTX,1,0
PG,4,0
KO,1,0
LIN,1,0
SPGI,4,0
XOM,5,1
CVX,5,1
COP,5,1
EOG,5,1
PXD,5,0
MPC,4,1
SLB,5,1
BKR,5,1
HAL,5,1
LNG,1,0
TRGP,3,1
VLO,4,1
PSX,4,1
DVN,5,1
FANG,5,1
KMI,5,1
WMB,5,1
OKE,4,1
CTRA,3,1
OXY,5,1
HES,4,1
EPD,1,0
ET,1,0
APA,2,1
GOOGL,3,0
ADBE,4,0
NOW,3,0
ISRG,3,0
UNP,3,0
MCO,1,0
DIS,1,0
HD,2,0
PEP,2,0
ABT,1,0
WMT,1,0
MRK,1,0
PYPL,1,0
BA,1,0
MA,1,0
INTU,1,0
ODFL,1,0
BAC,1,0
WFC,1,0
CVS,1,0
GM,1,0
C,1,0
MET,1,0
PRU,1,0
META,1,0
PANW,1,0
MRO,1,0
FTI,1,0
NOV,1,0
ENB,1,0
NEE,2,0
ABBV,1,0
SBUX,1,0
HON,1,0
WM,1,0
LMT,1,0
AMT,1,0
PLD,1,0
ECL,1,0
