Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
GOOGL,0.18,0.2,0.2,0.09,0.08
META,0.15,0.15,0.15,0.12,0.12
NFLX,0.1,0.1,0.12,0.08,0.1
TMUS,0.08,0.08,0.1,0.06,0.08
DIS,0.08,0.08,0.08,0.07,0.09
CHTR,0.07,0.07,0.06,0.04,0.07
EA,0.06,0.06,0.07,0.04,0.06
TTWO,0.05,0.05,0.05,0.03,0.04
CMCSA,0.05,0.05,0.05,0.05,0.06
VZ,0.04,0.04,0.04,0.03,0.05
MTCH,0.03,0.03,0.03,0.03,0.03
OMC,0.03,0.03,0.02,0.02,0.02
T,0.02,0.02,0.01,0.03,0.04
IPG,0.02,0.01,0.0,0.02,0.01
WBD,0.01,0.01,0.01,0.02,0.02
PARA,0.01,0.01,0.01,0.02,0.02
NWSA,0.02,0.01,0.0,0.01,0.01
FOXA,,,0.0,0.02,0.01
FOX,,,,0.01,0.01
GOOG,,,,0.21,0.08
