Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMZN,0.15,0.15,0.15,0.15,0.15
HD,0.08,0.09,0.08,0.08,0.09
TSLA,0.1,0.12,0.08,0.08,0.08
MCD,0.07,0.05,0.07,0.07,0.06
BKNG,0.07,0.07,0.07,0.07,0.07
LULU,0.06,0.05,0.06,0.05,0.06
TJX,0.06,0.05,0.05,0.06,0.05
ORLY,0.05,0.06,0.05,0.05,0.06
LOW,0.05,0.07,0.05,0.06,0.05
CMG,0.05,0.06,0.06,0.05,0.07
NKE,0.04,0.05,0.05,0.05,0.05
SBUX,0.04,0.04,0.04,0.04,0.04
ULTA,0.04,0.03,0.04,0.04,0.04
RCL,0.03,0.02,0.03,0.03,0.03
YUM,0.03,0.02,0.03,0.03,0.02
ROST,0.03,0.02,0.03,0.03,0.03
EXPE,0.02,0.01,0.02,0.02,0.02
CCL,0.01,0.02,0.02,0.02,0.01
EBAY,0.01,0.01,0.01,0.01,0.01
F,0.01,0.01,0.01,0.01,0.01
