Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
COST,0.12,0.12,0.12,0.1,0.12
PG,0.1,0.1,0.1,0.12,0.1
WMT,0.1,0.1,0.1,0.09,0.09
KO,0.08,0.08,0.07,0.08,0.07
PEP,0.08,0.08,0.08,0.08,0.08
MDLZ,0.07,0.06,0.06,0.07,0.06
MNST,0.06,0.07,0.07,0.05,0.07
CL,0.05,0.05,0.05,0.06,0.05
EL,0.05,0.06,0.06,0.05,0.06
STZ,0.05,0.05,0.05,0.05,0.05
KR,0.04,0.04,0.04,0.06,0.04
HSY,0.04,0.04,0.04,0.04,0.04
KMB,0.03,0.02,0.03,0.04,0.03
GIS,0.03,0.02,0.02,0.03,0.03
CLX,0.02,0.02,0.01,0.02,0.02
MKC,0.02,0.03,0.03,0.02,0.02
CHD,0.02,0.03,0.04,0.01,0.03
SJM,0.02,0.01,0.01,0.01,0.02
CPB,0.01,0.01,0.01,0.01,0.01
CAG,0.01,0.01,0.01,0.01,0.01
