Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
XOM,0.15,0.15,0.15,0.15,0.15
CVX,0.12,0.12,0.12,0.12,0.12
COP,0.08,0.08,0.08,0.08,0.08
EOG,0.07,0.08,0.07,0.07,0.08
SLB,0.07,0.07,0.07,0.07,0.07
MPC,0.06,0.07,0.06,0.06,0.07
TRGP,0.06,0.06,0.06,0.06,0.06
WMB,0.06,0.05,0.04,0.05,0.05
DVN,0.05,0.06,0.05,0.05,0.06
VLO,0.05,0.05,0.05,0.05,0.05
OKE,0.05,0.04,0.03,0.03,0.04
FANG,0.04,0.04,0.04,0.05,0.04
PSX,0.04,0.03,0.04,0.04,0.03
HES,0.03,0.03,0.03,0.02,0.02
BKR,0.02,0.02,0.02,0.01,0.03
KMI,0.02,0.02,0.01,0.03,0.02
OXY,0.01,0.01,0.05,0.04,0.01
HAL,0.01,0.0,0.01,0.01,0.01
APA,0.01,0.01,0.01,0.0,0.01
EQT,0.0,0.01,0.01,0.01,0.0
