Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
JPM,0.09,0.09,0.09,0.09,0.09
V,0.08,0.08,0.08,0.08,0.08
MA,0.08,0.08,0.08,0.08,0.08
BRK.B,0.07,0.07,0.07,0.07,0.07
BLK,0.07,0.07,0.07,0.07,0.07
SPGI,0.06,0.06,0.06,0.06,0.06
PGR,0.06,0.06,0.06,0.06,0.06
GS,0.05,0.05,0.06,0.05,0.06
MS,0.05,0.05,0.04,0.05,0.04
MMC,0.05,0.05,0.05,0.05,0.05
CME,0.05,0.05,0.05,0.05,0.05
ICE,0.05,0.05,0.05,0.05,0.05
CB,0.05,0.05,0.05,0.05,0.05
BAC,0.04,0.04,0.04,0.04,0.04
AJG,0.04,0.04,0.05,0.04,0.05
PNC,0.03,0.03,0.03,0.03,0.03
WFC,0.03,0.03,0.03,0.03,0.03
TRV,0.03,0.03,0.02,0.03,0.02
MTB,0.02,0.02,0.01,0.02,0.02
PYPL,0.0,0.0,0.01,0.0,0.0
