Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
UNP,0.09,0.07920792079207921,0.08,0.07920792079207921,0.08
CAT,0.08,0.07920792079207921,0.09,0.07920792079207921,0.08
LMT,0.08,0.0891089108910891,0.08,0.0891089108910891,0.09
HON,0.07,0.06930693069306931,0.07,0.06930693069306931,0.07
DE,0.07,0.0594059405940594,0.06,0.0594059405940594,0.06
PWR,0.06,0.06930693069306931,0.07,0.06930693069306931,0.07
TDG,0.06,0.0594059405940594,0.06,0.0594059405940594,0.06
ROK,0.06,0.04950495049504951,0.06,0.0594059405940594,0.06
ITW,0.05,0.04950495049504951,0.05,0.04950495049504951,0.05
EMR,0.05,0.04950495049504951,0.05,0.04950495049504951,0.05
CARR,0.05,0.04950495049504951,0.05,0.04950495049504951,0.05
PH,0.05,0.04950495049504951,0.05,0.04950495049504951,0.05
AME,0.04,0.04950495049504951,0.04,0.039603960396039604,0.05
OTIS,0.04,0.0297029702970297,0.04,0.0297029702970297,0.04
FTV,0.03,0.0297029702970297,0.03,0.0297029702970297,0.04
TT,0.03,0.0297029702970297,0.03,0.0297029702970297,0.04
XYL,0.03,0.019801980198019802,0.02,0.019801980198019802,0.01
DOV,0.03,0.039603960396039604,0.03,0.039603960396039604,0.03
GNRC,0.02,0.039603960396039604,0.02,0.039603960396039604,0.01
MMM,0.01,0.009900990099009901,0.02,0.009900990099009901,0.01
