Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
MSFT,0.15,0.14,0.14,0.14,0.15
NVDA,0.12,0.15,0.15,0.15,0.14
AAPL,0.1,0.09,0.12,0.12,0.12
AVGO,0.08,0.1,0.09,0.08,0.08
AMD,0.07,0.07,0.08,0.07,0.06
CRM,0.06,0.06,0.05,0.05,0.06
ADBE,0.06,0.07,0.05,0.05,0.05
ANET,0.05,0.05,0.06,0.06,0.03
SNPS,0.05,0.05,0.04,0.04,0.03
CDNS,0.05,0.05,0.04,0.04,0.03
NOW,0.04,0.04,0.04,0.04,0.05
PANW,0.04,0.03,0.04,0.05,0.05
INTU,0.03,0.03,0.03,0.03,0.04
FTNT,0.03,0.02,0.01,0.02,0.02
MCHP,0.02,0.01,0.02,0.02,0.02
TXN,0.02,0.01,0.01,0.01,0.03
MPWR,0.01,0.02,0.02,0.01,0.005
CSCO,0.01,0.01,0.01,0.01,0.02
IBM,0.01,0.0,0.0,0.01,0.01
HPQ,0.0,0.0,0.0,0.0,0.005
