Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LIN,0.15,0.15,0.15,0.1485148514851485,0.15
APD,0.1,0.1,0.1,0.09900990099009901,0.1
FCX,0.09,0.09,0.08,0.1188118811881188,0.09
SHW,0.08,0.08,0.09,0.07920792079207921,0.08
NUE,0.08,0.08,0.07,0.0891089108910891,0.08
ECL,0.07,0.07,0.06,0.06930693069306931,0.07
VMC,0.06,0.06,0.05,0.0594059405940594,0.05
MLM,0.06,0.06,0.05,0.0594059405940594,0.06
DD,0.05,0.05,0.06,0.04950495049504951,0.06
CTVA,0.05,0.04,0.05,0.0297029702970297,0.05
PPG,0.04,0.05,0.04,0.04950495049504951,0.04
NEM,0.04,0.04,0.04,0.039603960396039604,0.03
CF,0.03,0.03,0.03,0.019801980198019802,0.04
ALB,0.03,0.03,0.04,0.0297029702970297,0.03
AVY,0.02,0.01,0.02,0.009900990099009901,0.01
IFF,0.01,0.02,0.01,0.009900990099009901,0.02
EMN,0.01,0.01,0.02,0.009900990099009901,0.01
MOS,0.01,0.01,0.01,0.009900990099009901,0.01
IP,0.01,0.01,0.02,0.009900990099009901,0.01
BALL,0.01,0.01,0.01,0.009900990099009901,0.01
