Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMT,0.09,0.09,0.1,0.09,0.09
EQIX,0.08,0.08,0.09,0.08,0.08
PLD,0.08,0.08,0.12,0.08,0.08
DLR,0.07,0.07,0.08,0.07,0.07
PSA,0.07,0.06,0.07,0.07,0.06
CCI,0.06,0.07,0.06,0.06,0.07
SBAC,0.06,0.06,0.04,0.05,0.05
SPG,0.06,0.06,0.07,0.06,0.06
EXR,0.05,0.05,0.04,0.05,0.05
ARE,0.05,0.05,0.04,0.05,0.04
WELL,0.05,0.05,0.05,0.05,0.05
AVB,0.05,0.05,0.06,0.04,0.05
O,0.05,0.05,0.05,0.05,0.05
INVH,0.04,0.04,0.03,0.04,0.04
ESS,0.03,0.04,0.03,0.04,0.04
FRT,0.03,0.03,0.02,0.03,0.03
VTR,0.03,0.03,0.02,0.03,0.03
REG,0.02,0.01,0.01,0.02,0.02
BXP,0.02,0.02,0.01,0.02,0.02
KIM,0.01,0.01,0.01,0.02,0.02
