Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NEE,0.12,0.12,0.12,0.12,0.12
DUK,0.09,0.09,0.09,0.09,0.09
SO,0.08,0.08,0.08,0.08,0.08
CEG,0.07,0.06,0.08,0.07,0.06
SRE,0.07,0.06,0.07,0.07,0.07
D,0.06,0.07,0.06,0.06,0.07
AEP,0.06,0.07,0.06,0.06,0.06
EXC,0.06,0.05,0.05,0.05,0.05
XEL,0.05,0.05,0.06,0.05,0.05
ES,0.05,0.05,0.05,0.05,0.05
ETR,0.05,0.05,0.05,0.05,0.05
WEC,0.04,0.04,0.04,0.04,0.04
ED,0.04,0.04,0.04,0.04,0.04
CMS,0.04,0.04,0.03,0.04,0.04
AEE,0.03,0.03,0.03,0.03,0.03
PNW,0.02,0.03,0.02,0.03,0.02
EVRG,0.02,0.02,0.02,0.02,0.02
LNT,0.02,0.02,0.02,0.02,0.02
ATO,0.02,0.02,0.02,0.02,0.02
NI,0.01,0.01,0.01,0.01,0.02
