Stocks,Count,IsValid
AMZN,10,1
HD,10,1
MCD,9,1
NKE,10,1
SBUX,10,1
BKNG,10,1
CMG,7,1
LULU,10,1
TSLA,10,1
ULTA,8,1
BBWI,7,0
EBAY,8,1
F,8,1
GPS,3,0
VFC,4,0
ETSY,10,0
FIVE,1,0
PLNT,1,0
WSM,3,0
YUM,5,1
CCL,6,1
EXPE,9,1
MGM,2,0
RCL,4,1
TJX,8,1
GM,4,0
ORLY,6,1
APTV,3,0
LOW,5,1
POOL,3,0
NFLX,3,0
DIS,3,0
CMCSA,2,0
WBD,1,0
LYV,2,0
BBY,1,0
MAR,2,0
ROST,5,1
HAS,3,0
WHR,2,0
HLT,3,0
DPZ,3,0
DG,3,0
ABNB,4,0
W,1,0
CHWY,1,0
KMX,1,0
LVS,1,0
DHI,1,0
DKNG,2,0
TSCO,1,0
DASH,1,0
NCLH,1,0
CZR,1,0
DECK,1,0
TPR,1,0
CPRI,1,0
LEN,1,0
UBER,1,0
TGT,1,0
PTON,1,0
COST,1,0
