Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
UNP,0.12,0.12,0.10958904109589043,0.1188118811881188,0.12
HON,0.1,0.1,0.10045662100456623,0.09900990099009901,0.1
ETN,0.09,0.09,0.09132420091324203,0.0891089108910891,0.09
DE,0.085,0.085,0.08219178082191782,0.08415841584158416,0.09
CAT,0.08,0.08,0.08675799086757993,0.06930693069306931,0.08
CSX,0.08,0.08,0.07305936073059363,0.07920792079207921,0.08
UPS,0.075,0.065,0.07762557077625573,0.06930693069306931,0.08
EMR,0.07,0.075,0.06849315068493152,0.07425742574257425,0.07
ITW,0.07,0.07,0.06392694063926943,0.07425742574257425,0.07
GE,0.065,0.045,0.050228310502283116,0.034653465346534656,0.02
FDX,0.06,0.055,0.054794520547945216,0.0594059405940594,0.05
RTX,0.045,0.06,0.05936073059360732,0.06435643564356436,0.06
LMT,0.03,0.04,0.045662100456621016,0.04950495049504951,0.04
MMM,0.02,0.02,0.022831050228310508,0.019801980198019802,0.04
BA,0.01,0.015,0.013698630136986304,0.01485148514851485,0.01
