Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NEE,0.18,0.1782178217821782,0.18,0.18,0.1782178217821782
CEG,0.15,0.1485148514851485,0.15,0.15,0.1485148514851485
SRE,0.12,0.07920792079207921,0.12,0.12,0.1188118811881188
DUK,0.1,0.1188118811881188,0.1,0.1,0.09900990099009901
SO,0.08,0.09900990099009901,0.08,0.1,0.07920792079207921
AEP,0.07,0.06930693069306931,0.09,0.08,0.06930693069306931
EXC,0.06,0.0594059405940594,0.07,0.08,0.0594059405940594
XEL,0.05,0.04950495049504951,0.05,0.06,0.04455445544554455
VST,0.05,0.04950495049504951,0.06,0.05,0.04950495049504951
ETR,0.04,0.0297029702970297,0.04,0.005,0.039603960396039604
PEG,0.04,0.039603960396039604,0.03,0.04,0.04455445544554455
ED,0.03,0.034653465346534656,0.015,0.02,0.0297029702970297
D,0.02,0.024752475247524754,0.01,0.01,0.019801980198019802
PPL,0.01,0.01485148514851485,0.003,0.003,0.009900990099009901
EVRG,0.0,0.0049504950495049506,0.002,0.002,0.009900990099009901
