Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMZN,0.18,0.1782178217821782,0.1782178217821782,0.18,0.1782178217821782
TSLA,0.12,0.1188118811881188,0.1188118811881188,0.12,0.1188118811881188
HD,0.1,0.09900990099009901,0.09900990099009901,0.1,0.09900990099009901
NKE,0.08,0.06930693069306931,0.06435643564356436,0.07,0.06930693069306931
LOW,0.07,0.054455445544554455,0.054455445544554455,0.06,0.0594059405940594
MCD,0.065,0.04950495049504951,0.06930693069306931,0.06,0.07920792079207921
SBUX,0.06,0.04455445544554455,0.04455445544554455,0.045,0.054455445544554455
LULU,0.055,0.07920792079207921,0.07920792079207921,0.08,0.04950495049504951
TJX,0.05,0.039603960396039604,0.039603960396039604,0.04,0.04455445544554455
BKNG,0.045,0.039603960396039604,0.034653465346534656,0.035,0.039603960396039604
ORLY,0.04,0.0594059405940594,0.0594059405940594,0.05,0.039603960396039604
CMG,0.035,0.04950495049504951,0.04950495049504951,0.05,0.034653465346534656
ABNB,0.03,0.01485148514851485,0.009900990099009901,0.02,0.024752475247524754
AZO,0.025,0.034653465346534656,0.0297029702970297,0.03,0.0297029702970297
RCL,0.02,0.009900990099009901,0.01485148514851485,0.01,0.019801980198019802
YUM,0.015,0.019801980198019802,0.019801980198019802,0.025,0.024752475247524754
GM,0.005,0.0019801980198019802,0.0029702970297029703,0.003,0.007425742574257425
F,0.003,0.0029702970297029703,0.0019801980198019802,0.002,0.0024752475247524753
BBY,0.001,0.0049504950495049506,0.0049504950495049506,0.005,0.009900990099009901
ULTA,0.001,0.0297029702970297,0.024752475247524754,0.015,0.01485148514851485
