Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
WMT,0.15,0.12,0.15,0.15,0.15
PG,0.12,0.11,0.12,0.12,0.12
KO,0.1,0.09,0.08,0.1,0.09
PEP,0.1,0.09,0.08,0.1,0.09
COST,0.08,0.1,0.1,0.08,0.1
MDLZ,0.05,0.06,0.07,0.05,0.07
MNST,0.08,0.08,0.08,0.08,0.08
MKC,0.07,0.045,0.055,0.05,0.06
SYY,0.05,0.05,0.06,0.07,0.05
TSN,0.05,0.055,0.055,0.05,0.04
CL,0.04,0.04,0.03,0.04,0.03
KMB,0.03,0.035,0.03,0.03,0.03
GIS,0.025,0.03,0.025,0.025,0.02
CHD,0.02,0.025,0.015,0.03,0.02
CLX,0.015,0.025,0.015,0.025,0.02
HRL,0.01,0.02,0.02,,0.015
CPB,0.01,0.01,,,0.005
CAG,,0.005,0.005,,0.01
K,,0.005,0.01,,
SJM,,0.005,,,
