Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
XOM,0.18,0.18,0.15,0.15,0.18
CVX,0.15,0.17,0.12,0.12,0.16
COP,0.12,0.15,0.1,0.1,0.13
EOG,0.08,0.1,0.08,0.08,0.13
SLB,0.07,0.04,0.04,0.03,0.03
TRGP,0.06,0.06,0.04,0.05,0.04
WMB,0.05,0.05,0.07,0.04,0.02
OKE,0.04,0.04,0.005,0.04,0.03
KMI,0.04,0.04,0.08,0.03,0.02
MPC,0.03,0.03,0.04,0.08,0.05
VLO,0.03,0.01,0.03,0.01,0.02
FANG,0.04,0.03,0.06,0.06,0.06
DVN,0.03,0.03,0.05,0.03,0.05
HES,0.02,0.025,0.015,0.025,0.025
PSX,0.02,0.015,0.03,0.07,0.03
BKR,0.015,0.02,0.03,0.015,0.015
HAL,0.01,0.01,0.03,0.02,0.01
CTRA,0.01,,0.01,0.02,
OXY,0.005,,0.015,0.025,
APA,0.0,,0.005,0.005,
