Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
V,0.11483253588516747,0.1137440758293839,0.15,0.11538461538461538,0.15
BRK.B,0.09569377990430623,0.1042654028436019,0.1,0.09615384615384616,0.1
JPM,0.0861244019138756,0.09478672985781991,0.12,0.08653846153846154,0.12
SPGI,0.07655502392344499,0.08530805687203792,0.07,0.07692307692307693,0.07
BLK,0.06698564593301437,0.07582938388625593,0.08,0.06730769230769232,0.08
CME,0.05741626794258373,0.06635071090047394,0.05,0.05769230769230769,0.03
SCHW,0.05741626794258373,0.06161137440758294,0.06,0.052884615384615384,0.05
ICE,0.052631578947368425,0.05213270142180095,0.04,0.04807692307692308,0.02
AXP,0.04784688995215312,0.047393364928909956,0.05,0.04326923076923077,0.1
BAC,0.04784688995215312,0.05687203791469195,0.08,0.04807692307692308,0.08
GS,0.0430622009569378,0.04265402843601896,0.02,0.038461538461538464,
COF,0.038277511961722493,0.028436018957345974,0.03,0.03365384615384616,0.03
MS,0.038277511961722493,0.018957345971563982,0.02,0.038461538461538464,
TRV,0.033492822966507185,0.014218009478672987,0.01,0.02403846153846154,0.06
USB,0.028708133971291867,0.037914691943127965,0.03,0.03365384615384616,0.05
PNC,0.02392344497607656,0.023696682464454978,0.03,0.03365384615384616,0.02
WFC,0.02392344497607656,0.03317535545023697,0.04,0.028846153846153844,
TFC,0.02392344497607656,0.023696682464454978,0.02,0.028846153846153844,
AIG,0.02392344497607656,0.009478672985781991,,0.02403846153846154,0.04
ALL,0.019138755980861247,0.009478672985781991,,0.02403846153846154,
