Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
UNH,0.1263157894736842,0.11320754716981134,0.12,0.1263157894736842,0.12
LLY,0.10526315789473684,0.09433962264150945,0.1,0.07894736842105263,0.1
JNJ,0.08421052631578947,0.08018867924528304,0.08,0.08421052631578947,0.08
ABBV,0.0736842105263158,0.07547169811320756,0.07,0.0631578947368421,0.04
TMO,0.06842105263157894,0.07075471698113209,0.08,0.05789473684210526,0.07
MRK,0.0631578947368421,0.061320754716981146,0.06,0.06842105263157894,0.06
PFE,0.05789473684210526,0.05660377358490567,,0.05263157894736842,0.05
ISRG,0.05263157894736842,0.06603773584905662,0.06,0.05263157894736842,0.06
REGN,0.047368421052631574,0.04716981132075473,0.05,0.042105263157894736,0.04
CVS,0.042105263157894736,0.03301886792452831,0.06,0.047368421052631574,0.04
VRTX,0.042105263157894736,0.0518867924528302,0.03,0.042105263157894736,0.04
AMGN,0.0368421052631579,0.03301886792452831,0.025,0.047368421052631574,0.03
CI,0.0368421052631579,0.028301886792452834,0.05,0.0368421052631579,0.02
GILD,0.03157894736842105,0.03773584905660378,0.025,0.0368421052631579,0.04
HUM,0.03157894736842105,0.028301886792452834,0.04,0.0368421052631579,0.02
DXCM,0.02631578947368421,0.04245283018867925,0.04,0.03157894736842105,0.04
ZTS,0.02631578947368421,0.023584905660377364,0.025,0.03157894736842105,0.04
EW,0.021052631578947368,0.023584905660377364,0.03,0.02631578947368421,0.03
BIIB,0.015789473684210523,0.01886792452830189,0.02,0.021052631578947368,0.02
MRNA,0.010526315789473684,0.014150943396226417,0.035,0.015789473684210523,0.06
