Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LIN,0.11764705882352941,0.11764705882352938,0.12,0.10909090909090907,0.11881188118811878
APD,0.0784313725490196,0.07843137254901959,0.08,0.07272727272727272,0.0792079207920792
SHW,0.09803921568627451,0.0980392156862745,0.1,0.09090909090909091,0.0792079207920792
ECL,0.06862745098039216,0.06862745098039215,0.07,0.0818181818181818,0.0693069306930693
PPG,0.049019607843137254,0.04901960784313725,0.05,0.045454545454545456,0.05940594059405939
ALB,0.0784313725490196,0.08823529411764704,0.08,0.07272727272727272,0.0792079207920792
CF,0.058823529411764705,0.039215686274509796,0.04,0.03636363636363636,0.04950495049504949
MOS,0.0392156862745098,0.029411764705882346,0.03,0.027272727272727268,0.00495049504950495
IFF,0.029411764705882353,0.039215686274509796,0.04,0.03636363636363636,0.04950495049504949
CTVA,0.049019607843137254,0.029411764705882346,0.03,0.054545454545454536,0.0396039603960396
LYB,0.0392156862745098,0.029411764705882346,0.025,0.03636363636363636,0.029702970297029695
EMN,0.029411764705882353,0.019607843137254898,0.02,0.045454545454545456,0.0099009900990099
DOW,0.058823529411764705,0.019607843137254898,0.015,0.045454545454545456,0.029702970297029695
DD,0.0392156862745098,0.019607843137254898,0.01,0.054545454545454536,0.0198019801980198
IP,0.0196078431372549,0.009803921568627449,0.005,0.01818181818181818,0.0029702970297029695
NUE,0.06862745098039216,0.07843137254901959,0.09,0.06363636363636364,0.09900990099009899
VMC,0.029411764705882353,0.05882352941176469,0.07,0.03636363636363636,0.05940594059405939
MLM,0.0196078431372549,0.04901960784313725,0.06,0.027272727272727268,0.04950495049504949
FCX,0.0196078431372549,0.06862745098039215,0.06,0.027272727272727268,0.0693069306930693
PKG,0.00980392156862745,0.009803921568627449,0.005,0.01818181818181818,0.00198019801980198
