Stocks,Count,IsValid
GOOGL,10,1
META,10,1
NFLX,10,1
DIS,10,1
VZ,10,1
TMUS,9,1
CHTR,10,1
CMCSA,10,1
T,10,1
PARA,10,1
WBD,8,1
ROKU,7,0
SPOT,6,0
EA,5,1
TTWO,6,1
ATVI,2,0
LUMN,5,0
DISH,5,0
SIRI,2,0
FOXA,6,1
NWSA,5,1
UBER,2,0
LYFT,2,0
PINS,6,0
SNAP,6,0
TWTR,1,0
MTCH,6,1
ZM,4,0
IPG,2,1
OMC,3,1
FOX,1,1
NWS,1,0
LYV,2,1
TWLO,2,0
DOCU,1,0
NYT,2,0
FUBO,1,0
AMZN,2,0
TSLA,1,0
NVDA,2,0
CRM,4,0
ADBE,4,0
ORCL,2,0
CSCO,2,0
INTC,2,0
QCOM,2,0
AVGO,2,0
TXN,1,0
AMAT,1,0
GOOG,1,0
RBLX,1,0
AMD,1,0
MSFT,1,0
SHOP,1,0
TTD,1,0
