Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
GOOGL,0.15920398009950248,0.18,0.2,0.1584158415841584,0.18
META,0.15422885572139303,0.17,0.18,0.14851485148514848,0.17
NFLX,0.10945273631840795,0.12,0.12,0.09900990099009899,0.12
TMUS,0.09950248756218905,0.1,0.1,0.09900990099009899,0.05
DIS,0.08955223880597013,0.05,0.07,0.08910891089108909,0.1
EA,0.06965174129353234,0.05,0.035,0.04950495049504949,0.06
TTWO,0.06467661691542288,0.06,0.04,0.05940594059405939,0.07
CHTR,0.059701492537313425,0.08,0.06,0.0693069306930693,0.04
CMCSA,0.054726368159203974,0.07,0.08,0.0693069306930693,0.1
LYV,0.03980099502487562,0.04,0.03,0.0396039603960396,0.05
WBD,0.03482587064676617,0.02,0.025,0.029702970297029695,0.02
VZ,0.02487562189054726,0.03,0.025,0.03465346534653465,0.02
PARA,0.01990049751243781,0.01,0.01,0.024752475247524747,0.01
FOXA,0.014925373134328356,0.015,0.01,0.014851485148514847,
OMC,0.004975124378109453,0.005,0.015,0.014851485148514847,0.01
