Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
JPM,0.14,0.14,0.13861386138613863,0.1188118811881188,0.12121212121212122
BAC,0.12,0.12,0.06435643564356436,0.06930693069306931,0.06060606060606061
BLK,0.11,0.11,0.1188118811881188,0.09900990099009901,0.10101010101010102
SPGI,0.1,0.1,0.10891089108910891,0.09900990099009901,0.09595959595959597
AXP,0.09,0.06,0.06930693069306931,0.0594059405940594,0.08080808080808081
SCHW,0.08,0.05,0.04455445544554455,0.0891089108910891,0.07070707070707072
ICE,0.07,0.09,0.0891089108910891,0.10891089108910891,0.09090909090909091
PYPL,0.06,0.07,0.04455445544554455,0.0297029702970297,0.08585858585858587
GS,0.05,0.08,0.054455445544554455,0.0891089108910891,0.07575757575757576
MS,0.05,0.04,0.019801980198019802,0.07920792079207921,0.06565656565656566
CB,0.04,0.03,0.07920792079207921,0.019801980198019802,0.020202020202020204
MMC,0.03,0.04,0.07920792079207921,0.04950495049504951,0.04040404040404041
BK,0.02,0.02,0.0297029702970297,0.0297029702970297,0.025252525252525256
FIS,0.02,0.02,0.024752475247524754,0.019801980198019802,0.030303030303030304
CBOE,0.02,0.03,0.034653465346534656,0.039603960396039604,0.03535353535353536
