Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LLY,0.15,0.15,0.12,0.13461538461538458,0.12
UNH,0.05,0.05,0.11,0.12499999999999997,0.07
DHR,0.08,0.07,0.09,0.0769230769230769,0.09
ISRG,0.12,0.1,0.1,0.09615384615384613,0.1
REGN,0.09,0.09,0.09,0.08653846153846151,0.095
VRTX,0.1,0.09,0.08,0.06730769230769229,0.095
ABT,0.06,0.05,0.06,0.057692307692307675,0.055
HUM,0.03,0.03,0.04,0.03846153846153845,0.035
DXCM,0.11,0.08,0.08,0.06730769230769229,0.08
ZTS,0.04,0.04,0.03,0.03846153846153845,0.04
IDXX,0.04,0.07,0.05,0.048076923076923066,0.075
TMO,0.05,0.06,0.07,0.048076923076923066,0.065
MRNA,0.02,0.03,0.02,0.028846153846153837,0.01
BSX,0.04,0.08,0.04,0.03846153846153845,0.05
JNJ,0.02,0.01,0.02,0.048076923076923066,0.02
