Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
ODFL,0.12,0.09218436873747497,0.12060301507537685,0.08247422680412368,0.1
UNP,0.1,0.0591182364729459,0.08542713567839194,0.09278350515463914,0.08
HON,0.09,0.09218436873747497,0.11055276381909546,0.08762886597938142,0.09
ETN,0.09,0.09218436873747497,0.10050251256281405,0.08762886597938142,0.095
WM,0.08,0.0591182364729459,0.07537688442211053,0.07216494845360823,0.065
PH,0.08,0.0591182364729459,0.07035175879396983,0.0670103092783505,0.07
CAT,0.07,0.0591182364729459,0.03517587939698492,0.07731958762886595,0.06
DE,0.06,0.0591182364729459,0.04522613065326632,0.07731958762886595,0.075
CSX,0.06,0.0591182364729459,0.05527638190954773,0.061855670103092765,0.035
TT,0.05,0.09218436873747497,0.08040201005025124,0.061855670103092765,0.085
ROK,0.05,0.09218436873747497,0.09547738693467335,0.05670103092783503,0.095
FAST,0.04,0.0591182364729459,0.025125628140703512,0.036082474226804113,0.025
GWW,0.04,0.0591182364729459,0.030150753768844213,0.04123711340206184,0.03
RTX,0.04,0.03306613226452907,0.050251256281407024,0.04639175257731957,0.045
LMT,0.03,0.03306613226452907,0.02010050251256281,0.0515463917525773,0.05
