Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
ALB,0.125,0.11,0.09,0.1020408163265306,0.075
LIN,0.1,0.12,0.12,0.1224489795918367,0.1
SHW,0.095,0.1,0.1,0.09183673469387753,0.07
ECL,0.09,0.08,0.09,0.08163265306122447,0.07
APD,0.085,0.09,0.09,0.07142857142857142,0.06
FCX,0.08,0.07,0.03,0.08163265306122447,0.06
VMC,0.07,0.08,0.04,0.06122448979591835,0.07
MLM,0.065,0.07,0.05,0.06122448979591835,0.07
NUE,0.06,0.06,0.04,0.0510204081632653,0.06
PPG,0.05,0.05,0.06,0.06122448979591835,0.055
DOW,0.045,0.04,0.05,0.0510204081632653,0.055
BALL,0.04,0.03,0.07,0.030612244897959176,0.07
PKG,0.035,0.03,0.07,0.040816326530612235,0.06
AVY,0.03,0.04,0.07,0.0510204081632653,0.07
CF,0.03,0.03,0.03,0.040816326530612235,0.055
