Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
COST,0.12,0.11450381679389313,0.11940298507462688,0.11764705882352944,0.1188118811881188
WMT,0.1,0.08110687022900763,0.07960199004975126,0.0931372549019608,0.09900990099009901
PEP,0.095,0.08587786259541984,0.08457711442786071,0.08823529411764708,0.08415841584158416
STZ,0.085,0.07633587786259542,0.08955223880597016,0.09803921568627454,0.07425742574257425
PG,0.08,0.09541984732824428,0.05472636815920399,0.08333333333333336,0.0891089108910891
MDLZ,0.07,0.0715648854961832,0.08457711442786071,0.07843137254901962,0.06435643564356436
CL,0.06,0.05248091603053435,0.04975124378109454,0.04411764705882354,0.0594059405940594
HSY,0.055,0.05725190839694656,0.0646766169154229,0.05392156862745099,0.04455445544554455
BF.B,0.05,0.033396946564885496,0.04477611940298508,0.05882352941176472,0.054455445544554455
KO,0.045,0.06679389312977099,0.02985074626865672,0.06862745098039218,0.06930693069306931
CHD,0.04,0.04293893129770992,0.05970149253731344,0.03921568627450981,0.039603960396039604
KR,0.035,0.033396946564885496,0.04477611940298508,0.03431372549019609,0.0297029702970297
GIS,0.03,0.01431297709923664,0.03482587064676618,0.01470588235294118,0.034653465346534656
CLX,0.03,0.019083969465648856,0.02487562189054727,0.024509803921568634,0.024752475247524754
SJM,0.025,0.009541984732824428,0.02487562189054727,0.024509803921568634,0.01485148514851485
K,0.02,0.007633587786259542,0.01492537313432836,0.019607843137254905,0.0297029702970297
HRL,0.02,0.03816793893129771,0.019900497512437814,0.02941176470588236,0.024752475247524754
CAG,0.015,0.02385496183206107,0.02487562189054727,0.01470588235294118,0.019801980198019802
KHC,0.015,0.02862595419847328,0.03980099502487563,0.009803921568627453,0.01485148514851485
MO,0.01,0.04770992366412214,0.009950248756218907,0.004901960784313726,0.009900990099009901
