Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NVDA,0.12,0.1359223300970874,0.1359223300970874,0.12,0.1560975609756098
MSFT,0.11,0.11650485436893203,0.11650485436893203,0.11,0.09756097560975613
AVGO,0.085,0.08737864077669902,0.0970873786407767,0.09,0.09756097560975613
CRM,0.07,0.058252427184466014,0.0679611650485437,0.06,0.0780487804878049
NOW,0.065,0.04854368932038835,0.04854368932038835,0.05,0.048780487804878064
AAPL,0.065,0.07766990291262135,0.04854368932038835,0.08,0.048780487804878064
PANW,0.06,0.058252427184466014,0.07766990291262135,0.05,0.0682926829268293
CRWD,0.055,0.04854368932038835,0.04854368932038835,0.04,0.058536585365853676
AMD,0.05,0.04854368932038835,0.058252427184466014,0.07,0.058536585365853676
ADBE,0.045,0.038834951456310676,0.04854368932038835,0.05,0.03902439024390245
ANET,0.04,0.038834951456310676,0.038834951456310676,0.03,0.048780487804878064
DELL,0.04,0.019417475728155338,0.029126213592233007,0.03,0.029268292682926838
LRCX,0.035,0.038834951456310676,0.038834951456310676,0.04,0.029268292682926838
KLAC,0.03,0.029126213592233007,0.019417475728155338,0.02,0.019512195121951226
SNPS,0.03,0.029126213592233007,0.029126213592233007,0.03,0.03902439024390245
CDNS,0.03,0.029126213592233007,0.029126213592233007,0.03,0.03902439024390245
INTU,0.025,0.038834951456310676,0.029126213592233007,0.04,0.014634146341463419
FTNT,0.02,0.029126213592233007,0.019417475728155338,0.03,0.019512195121951226
ACN,0.015,0.019417475728155338,0.009708737864077669,0.02,0.004878048780487807
IBM,0.01,0.009708737864077669,0.009708737864077669,0.01,0.004878048780487807
