Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NEE,0.1212121212121212,0.145,0.14,0.11111111111111112,0.11650485436893203
SRE,0.06565656565656565,0.045,0.065,0.060185185185185196,0.0679611650485437
XEL,0.0707070707070707,0.08,0.07,0.08333333333333334,0.06310679611650485
AEP,0.07575757575757575,0.08,0.075,0.07407407407407408,0.07281553398058252
WEC,0.0606060606060606,0.08,0.06,0.09259259259259262,0.06310679611650485
D,0.07575757575757575,0.04,0.085,0.04629629629629631,0.05339805825242718
AWK,0.0202020202020202,0.035,0.025,0.07407407407407408,0.04854368932038835
SO,0.0808080808080808,0.055,0.095,0.04166666666666667,0.07766990291262135
DUK,0.050505050505050504,0.055,0.08,0.05555555555555556,0.05339805825242718
EXC,0.03535353535353535,0.025,0.04,0.01851851851851852,0.04368932038834951
LNT,0.0303030303030303,0.04,0.01,0.03703703703703704,0.029126213592233007
AEE,0.03535353535353535,0.035,0.015,0.06481481481481483,0.03398058252427185
ES,0.05555555555555555,0.055,0.055,0.02777777777777778,0.03398058252427185
ETR,0.0404040404040404,0.025,0.05,0.03240740740740741,0.03398058252427185
PEG,0.04545454545454545,0.04,0.045,0.05092592592592593,0.038834951456310676
DTE,0.050505050505050504,0.065,0.015,0.04629629629629631,0.04368932038834951
ATO,0.025252525252525252,0.015,0.03,0.023148148148148154,0.04854368932038835
FE,0.0202020202020202,0.02,0.02,0.03240740740740741,0.029126213592233007
CNP,0.0202020202020202,0.035,0.015,0.01388888888888889,0.024271844660194174
NI,0.0202020202020202,0.03,0.01,0.01388888888888889,0.024271844660194174
DTO,,,,,
