Stock,Weight
META,0.1592039800995025
 GOOGL,0.1492537313432836
 NFLX,0.10945273631840798
 TMUS,0.09950248756218907
 DIS,0.08955223880597016
 CHTR,0.06965174129353235
 EA,0.05970149253731344
 TTWO,0.04975124378109454
 CMCSA,0.04477611940298508
 LYV,0.03482587064676618
 MTCH,0.02985074626865672
 VZ,0.02487562189054727
 T,0.019900497512437814
 WBD,0.01492537313432836
 PARA,0.009950248756218907
 FOXA,0.009950248756218907
 OMC,0.007960199004975126
 IPG,0.006965174129353235
 NWSA,0.0049751243781094535
 NWS,0.0049751243781094535
