Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMZN,0.2040816326530612,0.2,0.202020202020202,0.2,0.2
TSLA,0.1530612244897959,0.15,0.15151515151515146,0.15,0.15
HD,0.1020408163265306,0.1,0.101010101010101,0.1,0.1
NKE,0.08163265306122447,0.08,0.08080808080808079,0.08,0.08
MCD,0.07142857142857142,0.07,0.0707070707070707,0.07,0.07
BKNG,0.07142857142857142,0.07,0.0707070707070707,0.07,0.07
LOW,0.06122448979591835,0.06,0.060606060606060594,0.06,0.06
SBUX,0.0510204081632653,0.05,0.0505050505050505,0.05,0.05
ABNB,0.040816326530612235,0.05,0.0505050505050505,0.05,0.05
LULU,0.040816326530612235,0.04,0.040404040404040394,0.04,0.04
ORLY,0.030612244897959176,0.04,0.030303030303030297,0.04,0.03
ULTA,0.030612244897959176,0.03,0.030303030303030297,0.03,0.03
F,0.020408163265306117,0.02,0.020202020202020197,0.02,0.02
DHI,0.020408163265306117,0.02,0.020202020202020197,0.02,0.02
ROST,0.020408163265306117,0.02,0.020202020202020197,0.02,0.03
