Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LLY,0.15,0.11881188118811878,0.15,0.12,0.15
UNH,0.12,0.10891089108910888,0.12,0.1,0.12
DHR,0.1,0.0792079207920792,0.08,0.07,0.07
TMO,0.1,0.0792079207920792,0.08,0.07,0.07
ABBV,0.09,0.09900990099009899,0.1,0.08,0.1
REGN,0.08,0.08910891089108909,0.1,0.1,0.1
ISRG,0.07,0.0693069306930693,0.08,0.08,0.08
VRTX,0.06,0.0693069306930693,0.07,0.09,0.08
ELV,0.05,0.05940594059405939,,0.06,0.04
DXCM,0.05,0.04950495049504949,0.05,0.07,0.05
MRK,0.04,0.04950495049504949,0.05,0.04,0.05
JNJ,0.04,0.04950495049504949,0.04,0.05,0.04
MRNA,0.03,0.029702970297029695,0.03,0.03,0.01
BMY,0.01,0.029702970297029695,0.03,0.02,0.03
PFE,0.01,0.0198019801980198,0.02,0.02,0.01
