Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
META,0.178217822,0.15,0.148514851,0.147058824,0.148514851
GOOGL,0.178217822,0.15,0.148514851,0.147058824,0.148514851
NFLX,0.099009901,0.1,0.099009901,0.098039216,0.099009901
DIS,0.079207921,0.08,0.099009901,0.078431373,0.079207921
TMUS,0.069306931,0.07,0.079207921,0.068627451,0.079207921
CMCSA,0.059405941,0.06,0.079207921,0.058823529,0.069306931
CHTR,0.04950495,0.06,0.069306931,0.058823529,0.059405941
EA,0.03960396,0.05,0.04950495,0.049019608,0.04950495
TTWO,0.03960396,0.05,0.04950495,0.049019608,0.04950495
FOX,0.01980198,0.01,0.02970297,0.029411765,0.02970297
WBD,0.02970297,0.04,0.02970297,0.029411765,0.02970297
OMC,0.00990099,0.01,0.01980198,0.019607843,0.01980198
IPG,0.00990099,0.01,0.01980198,0.019607843,0.01980198
LYV,0.01980198,0.02,0.01980198,0.019607843,0.01980198
NWSA,0.00990099,0.01,0.01980198,0.019607843,0.01980198
VZ,0.02970297,0.04,0.00990099,0.029411765,0.01980198
MTCH,0.01980198,0.03,0.00990099,0.029411765,0.01980198
T,0.01980198,0.03,0.00990099,0.029411765,0.01980198
PARA,0.01980198,0.02,0.00990099,0.009803922,0.00990099
FOXA,0.01980198,0.01,,0.009803922,0.00990099
