Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
PG,0.12,0.12,0.1188118811881188,0.12,0.12244897959183672
KO,0.1,0.1,0.09900990099009901,0.1,0.10204081632653061
PEP,0.1,0.1,0.09900990099009901,0.1,0.10204081632653061
MO,0.08,0.08,0.07920792079207921,0.08,0.08163265306122448
PM,0.08,0.08,0.07920792079207921,0.08,0.08163265306122448
CL,0.07,0.07,0.0594059405940594,0.07,0.05102040816326531
STZ,0.06,0.06,0.06930693069306931,0.06,0.07142857142857142
MDLZ,0.06,0.06,0.06930693069306931,0.06,0.06122448979591836
HSY,0.05,0.05,0.04950495049504951,0.05,0.04081632653061224
GIS,0.05,0.04,0.039603960396039604,0.04,0.04081632653061224
K,0.04,0.03,0.0297029702970297,0.03,0.02040816326530612
HRL,0.03,0.02,0.019801980198019802,0.02,0.03061224489795918
LW,0.03,0.02,0.019801980198019802,0.02,0.03061224489795918
MKC,0.03,0.02,0.019801980198019802,0.02,0.03061224489795918
CAG,0.03,0.03,0.0297029702970297,0.03,0.02040816326530612
SJM,0.02,0.03,0.0297029702970297,0.03,0.02040816326530612
CPB,0.02,0.02,0.019801980198019802,0.02,0.02040816326530612
WBA,0.02,0.01,0.009900990099009901,0.01,0.01020408163265306
TSN,0.01,0.01,0.009900990099009901,0.01,0.01020408163265306
KMB,,0.05,0.04950495049504951,0.05,0.05102040816326531
