Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
XOM,0.11764705882352941,0.12,0.12,0.12,0.12121212121212122
CVX,0.10784313725490197,0.12,0.11,0.12,0.11111111111111112
FANG,0.08823529411764705,0.08,0.07,0.08,0.06060606060606061
EOG,0.08823529411764705,0.09,0.08,0.08,0.07070707070707072
COP,0.0784313725490196,0.1,0.1,0.08,0.09090909090909091
MPC,0.0784313725490196,0.08,0.09,0.07,0.08080808080808081
OXY,0.06862745098039216,0.06,0.06,0.06,0.06060606060606061
SLB,0.058823529411764705,0.06,0.03,0.03,0.030303030303030304
KMI,0.049019607843137254,0.05,0.04,0.05,0.05050505050505051
WMB,0.049019607843137254,0.05,0.03,0.04,0.04040404040404041
VLO,0.0392156862745098,0.07,0.08,0.06,0.07070707070707072
PSX,0.0392156862745098,0.02,0.05,0.05,0.05050505050505051
DVN,0.029411764705882353,0.03,0.02,0.03,0.030303030303030304
HES,0.029411764705882353,0.03,0.03,0.02,0.030303030303030304
CTRA,0.0196078431372549,0.04,0.02,0.02,0.020202020202020204
BKR,0.0196078431372549,,0.02,0.03,0.020202020202020204
HAL,0.00980392156862745,,0.02,0.03,0.020202020202020204
EQT,0.00980392156862745,,0.01,0.01,0.010101010101010102
APA,0.00980392156862745,,0.01,0.01,0.010101010101010102
TRGP,0.00980392156862745,,0.01,0.01,0.020202020202020204
