Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LIN,0.1,0.1224489795918367,0.1212121212121212,0.12244897959183672,0.12
APD,0.095,0.1020408163265306,0.10101010101010101,0.10204081632653061,0.1
SHW,0.09,0.09183673469387753,0.0909090909090909,0.09183673469387754,0.09
ECL,0.085,0.08163265306122447,0.0808080808080808,0.08163265306122448,0.08
ALB,0.08,0.06122448979591835,0.0707070707070707,0.07142857142857142,0.07
FCX,0.075,0.06122448979591835,0.0606060606060606,0.06122448979591836,0.06
DOW,0.065,0.030612244897959176,0.0606060606060606,0.06122448979591836,0.06
PPG,0.06,0.030612244897959176,0.050505050505050504,0.05102040816326531,0.05
NUE,0.055,0.0510204081632653,0.050505050505050504,0.05102040816326531,0.05
VMC,0.04,0.040816326530612235,0.0404040404040404,0.04081632653061224,0.04
MLM,0.035,0.040816326530612235,0.0404040404040404,0.03061224489795918,0.04
CF,0.03,0.040816326530612235,0.0303030303030303,0.03061224489795918,0.03
AVY,0.025,0.020408163265306117,0.0303030303030303,0.03061224489795918,0.03
STLD,0.05,0.0510204081632653,0.0404040404040404,0.04081632653061224,0.04
BALL,0.025,0.020408163265306117,0.0303030303030303,0.03061224489795918,0.03
IFF,0.015,0.020408163265306117,0.0202020202020202,0.02040816326530612,0.02
PKG,0.02,0.020408163265306117,0.0202020202020202,0.02040816326530612,0.02
MOS,0.02,0.020408163265306117,0.0202020202020202,0.02040816326530612,0.02
EMN,0.02,0.020408163265306117,0.0202020202020202,0.02040816326530612,0.03
DD,0.015,0.07142857142857142,0.0202020202020202,0.02040816326530612,0.02
