Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
BRK.B,0.14,0.13,0.16,0.12244897959183669,0.14
V,0.12,0.08,0.1,0.08163265306122447,0.12
MA,0.12,0.08,0.1,0.08163265306122447,0.12
PGR,0.08,0.05,0.06,0.07142857142857141,0.06
JPM,0.08,0.1,0.12,0.10204081632653059,0.08
SPGI,0.07,0.07,0.06,0.07142857142857141,0.05
CME,0.07,0.06,0.05,0.061224489795918345,0.05
MS,0.06,0.07,0.06,0.08163265306122447,0.07
AXP,0.05,0.06,0.04,0.07142857142857141,0.06
BLK,0.05,0.07,0.08,0.08163265306122447,0.1
GS,0.04,0.05,0.04,0.040816326530612235,0.04
BAC,0.04,0.06,0.04,0.05102040816326529,0.03
WFC,0.03,0.04,0.02,0.020408163265306117,0.02
USB,0.03,0.04,0.03,0.030612244897959173,0.02
CB,0.02,0.04,0.04,0.030612244897959173,0.04
