Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LMT,0.1,0.08080808080808077,0.09,0.08,0.08205128205128205
RTX,0.09473684210526316,0.06565656565656564,0.09,0.09,0.07692307692307693
ETN,0.08947368421052632,0.08585858585858583,0.08,0.08,0.09743589743589744
ROK,0.08421052631578947,0.08080808080808077,0.08,0.07,0.06153846153846154
CAT,0.07894736842105263,0.07070707070707068,0.06,0.06,0.07179487179487179
DE,0.07368421052631578,0.07070707070707068,0.07,0.09,0.09230769230769231
HON,0.07368421052631578,0.09090909090909087,0.1,0.1,0.10256410256410256
CMI,0.06842105263157895,0.05555555555555553,0.07,0.07,0.05641025641025641
UPS,0.06315789473684211,0.06565656565656564,0.06,0.05,0.08717948717948718
PH,0.05789473684210526,0.05050505050505048,0.05,0.05,0.041025641025641026
ITW,0.05263157894736842,0.06060606060606058,0.05,0.05,0.046153846153846156
UNP,0.05263157894736842,0.07070707070707068,0.05,0.05,0.06666666666666667
CARR,0.042105263157894736,0.045454545454545435,0.05,0.06,0.035897435897435895
OTIS,0.03684210526315789,0.045454545454545435,0.05,0.05,0.03076923076923077
WM,0.031578947368421054,0.06060606060606058,0.05,0.05,0.05128205128205128
