Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
GOOGL,0.13265306122448978,0.18556701030927833,0.125,0.11616161616161616,0.0891089108910891
GOOG,0.13265306122448978,0.06185567010309278,0.125,0.11616161616161616,0.0891089108910891
META,0.1530612244897959,0.15463917525773194,0.17,0.18181818181818182,0.1188118811881188
NFLX,0.08673469387755102,0.10309278350515463,0.11,0.10101010101010101,0.07920792079207921
TMUS,0.07142857142857142,0.09278350515463916,0.09,0.08080808080808081,0.07920792079207921
DIS,0.07142857142857142,0.07216494845360825,0.07,0.06060606060606061,0.06930693069306931
CMCSA,0.05102040816326531,0.05154639175257732,0.03,0.050505050505050504,0.0594059405940594
EA,0.04081632653061224,0.041237113402061855,0.03,0.03535353535353535,0.039603960396039604
TTWO,0.04081632653061224,0.041237113402061855,0.03,0.03535353535353535,0.039603960396039604
LYV,0.03571428571428571,0.03092783505154639,0.05,0.04040404040404041,0.0594059405940594
MTCH,0.03061224489795918,0.03092783505154639,0.03,0.030303030303030304,0.039603960396039604
CHTR,0.025510204081632654,0.015463917525773195,0.02,0.025252525252525252,0.04950495049504951
VZ,0.02040816326530612,0.02577319587628866,0.02,0.020202020202020204,0.0297029702970297
T,0.02040816326530612,0.010309278350515464,0.02,0.020202020202020204,0.0297029702970297
WBD,0.01530612244897959,0.015463917525773195,0.03,0.020202020202020204,0.0297029702970297
PARA,0.01530612244897959,0.010309278350515464,0.01,0.010101010101010102,0.024752475247524754
FOXA,0.01530612244897959,0.015463917525773195,0.01,0.015151515151515152,0.017326732673267328
OMC,0.01530612244897959,0.015463917525773195,0.01,0.015151515151515152,0.019801980198019802
IPG,0.01530612244897959,0.015463917525773195,0.01,0.015151515151515152,0.019801980198019802
NWSA,0.01020408163265306,0.010309278350515464,0.01,0.010101010101010102,0.017326732673267328
