Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMZN,0.1492537313432836,0.16161616161616163,0.15,0.16,0.14705882352941177
HD,0.07960199004975126,0.09090909090909091,0.1,0.13,0.09803921568627451
MCD,0.06965174129353235,0.08080808080808081,0.08,0.09,0.0784313725490196
NKE,0.05970149253731344,0.04040404040404041,0.07,0.08,0.0784313725490196
TSLA,0.11940298507462688,0.12121212121212122,0.1,0.08,0.08823529411764705
LULU,0.07960199004975126,0.07070707070707072,0.04,0.05,0.058823529411764705
CMG,0.07960199004975126,0.07070707070707072,0.03,0.05,0.058823529411764705
BKNG,0.04975124378109454,0.06060606060606061,0.05,0.06,0.0392156862745098
HLT,0.02487562189054727,0.020202020202020204,0.02,0.03,0.0
MAR,0.02487562189054727,0.030303030303030304,0.03,0.03,0.029411764705882353
SBUX,0.04975124378109454,0.04040404040404041,0.05,0.04,0.0392156862745098
TJX,0.03980099502487563,0.05050505050505051,0.06,0.03,0.06862745098039216
ROST,0.02985074626865672,0.020202020202020204,0.03,0.03,0.0196078431372549
ORLY,0.03980099502487563,0.030303030303030304,0.04,0.03,0.06862745098039216
LOW,0.02985074626865672,0.030303030303030304,0.05,0.02,0.0196078431372549
YUM,0.019900497512437814,0.020202020202020204,0.03,0.03,0.029411764705882353
GM,0.01492537313432836,0.015151515151515152,0.02,0.01,0.0196078431372549
F,0.01492537313432836,0.015151515151515152,0.01,0.01,0.00980392156862745
DHI,0.01492537313432836,0.015151515151515152,0.02,0.02,0.0392156862745098
LEN,0.009950248756218907,0.015151515151515152,0.02,0.02,0.00980392156862745
