Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
COST,0.11,0.1,0.10869565217391304,0.1111111111111111,0.10416666666666666
MNST,0.08,0.08,0.07608695652173914,0.0707070707070707,0.08854166666666667
STZ,0.08,0.06,0.05434782608695652,0.0606060606060606,0.07291666666666667
MDLZ,0.07,0.05,0.06521739130434782,0.0707070707070707,0.06770833333333333
HSY,0.06,0.04,0.043478260869565216,0.050505050505050504,0.05208333333333333
EL,0.05,0.03,0.043478260869565216,0.0404040404040404,0.041666666666666664
PG,0.08,0.11,0.09782608695652173,0.0808080808080808,0.08333333333333333
PEP,0.08,0.11,0.08695652173913043,0.0909090909090909,0.08333333333333333
KO,0.07,0.08,0.08695652173913043,0.0606060606060606,0.06249999999999999
WMT,0.07,0.09,0.08695652173913043,0.0808080808080808,0.05208333333333333
CL,0.05,0.06,0.03260869565217391,0.0404040404040404,0.04687499999999999
PM,0.03,0.035,0.03260869565217391,0.0303030303030303,0.026041666666666664
MO,0.03,0.035,0.03260869565217391,0.0303030303030303,0.026041666666666664
SYY,0.025,0.025,0.021739130434782608,0.0303030303030303,0.031249999999999997
GIS,0.025,0.005,0.021739130434782608,0.0303030303030303,0.026041666666666664
MKC,0.025,0.02,0.03260869565217391,0.0404040404040404,0.041666666666666664
KMB,0.02,0.05,0.021739130434782608,0.0303030303030303,0.020833333333333332
CHD,0.02,0.01,0.021739130434782608,0.0202020202020202,0.036458333333333336
CLX,0.015,0.005,0.021739130434782608,0.0202020202020202,0.015624999999999998
KR,0.01,0.005,0.010869565217391304,0.0101010101010101,0.020833333333333332
