Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
XOM,0.14,0.12,0.1414141414141414,0.13043478260869562,0.15
CVX,0.13,0.1,0.12121212121212119,0.11956521739130432,0.12
COP,0.07,0.08,0.08080808080808079,0.08695652173913042,0.08
EOG,0.07,0.09,0.0707070707070707,0.07608695652173912,0.08
DVN,0.04,0.06,0.040404040404040394,0.06521739130434781,0.05
FANG,0.04,0.05,0.0505050505050505,0.06521739130434781,0.06
HES,0.03,0.05,0.0707070707070707,0.032608695652173905,0.04
OXY,0.02,0.03,0.030303030303030297,0.032608695652173905,0.03
APA,0.005,0.01,0.020202020202020197,0.027173913043478257,0.015
CTRA,0.005,0.005,0.020202020202020197,0.027173913043478257,0.015
MPC,0.06,0.07,0.0505050505050505,0.05434782608695651,0.06
VLO,0.05,0.06,0.040404040404040394,0.05434782608695651,0.05
PSX,0.04,0.04,0.030303030303030297,0.032608695652173905,0.025
SLB,0.06,0.06,0.0505050505050505,0.04347826086956521,0.06
HAL,0.05,0.03,0.030303030303030297,0.04347826086956521,0.04
BKR,0.04,0.02,0.030303030303030297,0.032608695652173905,0.025
KMI,0.04,0.05,0.040404040404040394,0.021739130434782605,0.035
WMB,0.04,0.04,0.030303030303030297,0.021739130434782605,0.035
OKE,0.04,0.03,0.030303030303030297,0.016304347826086953,0.02
TRGP,0.03,0.005,0.020202020202020197,0.016304347826086953,0.01
