Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
UNH,0.09374999999999999,0.10416666666666666,0.10101010101010101,0.09,0.11224489795918366
JNJ,0.08333333333333333,0.06249999999999999,0.0707070707070707,0.08,0.08163265306122448
MRK,0.07291666666666667,0.05208333333333333,0.0606060606060606,0.06,0.08163265306122448
ABBV,0.06249999999999999,0.041666666666666664,0.0606060606060606,0.06,0.04081632653061224
TMO,0.06249999999999999,0.07291666666666667,0.0606060606060606,0.05,0.08163265306122448
DHR,0.06249999999999999,0.031249999999999997,0.050505050505050504,0.03,0.03061224489795918
ABT,0.05208333333333333,0.041666666666666664,0.050505050505050504,0.04,0.05102040816326531
CI,0.05208333333333333,0.031249999999999997,0.0202020202020202,0.05,0.01020408163265306
BDX,0.041666666666666664,0.020833333333333332,0.025252525252525252,0.03,0.02040816326530612
ZTS,0.041666666666666664,0.05208333333333333,0.0404040404040404,0.04,0.05102040816326531
LLY,0.08333333333333333,0.12499999999999999,0.1212121212121212,0.1,0.12244897959183672
ISRG,0.05208333333333333,0.08333333333333333,0.0707070707070707,0.07,0.06122448979591836
VRTX,0.041666666666666664,0.041666666666666664,0.0404040404040404,0.06,0.04081632653061224
SYK,0.041666666666666664,0.041666666666666664,0.0303030303030303,0.03,0.03061224489795918
DXCM,0.031249999999999997,0.05208333333333333,0.0606060606060606,0.06,0.05102040816326531
EW,0.031249999999999997,0.06249999999999999,0.050505050505050504,0.04,0.05102040816326531
REGN,0.031249999999999997,0.031249999999999997,0.025252525252525252,0.04,0.03061224489795918
IDXX,0.031249999999999997,0.015624999999999998,0.0303030303030303,0.03,0.02040816326530612
MRNA,0.020833333333333332,0.015624999999999998,0.0101010101010101,0.01,0.01020408163265306
GILD,0.010416666666666666,0.020833333333333332,0.0202020202020202,0.03,0.02040816326530612
