Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LIN,0.12,0.1188118811881188,0.14,0.15,0.12
APD,0.1,0.09900990099009901,0.12,0.12,0.11
SHW,0.09,0.0891089108910891,0.12,0.08,0.12
ECL,0.08,0.0891089108910891,0.12,0.1,0.1
PPG,0.06,0.0297029702970297,0.02,0.0,0.04
ALB,0.08,0.06930693069306931,0.07,0.1,0.08
FCX,0.06,0.04950495049504951,0.04,0.08,0.05
NUE,0.06,0.0594059405940594,0.05,0.02,0.04
VMC,0.05,0.039603960396039604,0.04,0.06,0.04
MLM,0.04,0.039603960396039604,0.04,0.06,0.04
CTVA,0.07,0.04950495049504951,0.06,0.06,0.06
MOS,0.03,0.024752475247524754,0.01,0.02,0.04
IFF,0.03,0.0297029702970297,0.025,0.0,0.01
DD,0.03,0.0594059405940594,0.025,0.05,0.015
DOW,0.03,0.019801980198019802,0.02,0.0,0.015
EMN,0.02,0.039603960396039604,0.02,0.01,0.04
LYB,0.02,0.024752475247524754,0.02,0.0,0.015
NEM,0.02,0.039603960396039604,0.03,0.04,0.015
BALL,0.01,0.01485148514851485,0.015,0.05,0.04
IP,0.0,0.01485148514851485,0.015,0.0,0.01
