Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
EQIX,0.10526315789473684,0.11111111111111112,0.1,0.10204081632653061,0.10555555555555554
PLD,0.09473684210526315,0.08888888888888889,0.1,0.10204081632653061,0.1111111111111111
AMT,0.08421052631578947,0.09999999999999999,0.09,0.10204081632653061,0.09999999999999998
DLR,0.08421052631578947,0.07777777777777778,0.07,0.05102040816326531,0.07777777777777778
CCI,0.0736842105263158,0.06666666666666667,0.07,0.05102040816326531,0.07222222222222222
PSA,0.0631578947368421,0.06666666666666667,0.06,0.07142857142857142,0.04999999999999999
AVB,0.05789473684210526,0.044444444444444446,0.05,0.05102040816326531,0.04999999999999999
MAA,0.05789473684210526,0.044444444444444446,0.04,0.02040816326530612,0.04444444444444444
ARE,0.05263157894736842,0.05555555555555556,0.06,0.05102040816326531,0.06666666666666665
VICI,0.047368421052631574,0.06666666666666667,0.05,0.05102040816326531,0.0611111111111111
O,0.042105263157894736,0.05555555555555556,0.06,0.08163265306122448,0.05555555555555555
EXR,0.042105263157894736,0.03333333333333333,0.04,0.04081632653061224,0.033333333333333326
WELL,0.03157894736842105,0.03888888888888889,0.04,0.05102040816326531,0.027777777777777776
INVH,0.03157894736842105,0.044444444444444446,0.05,0.06122448979591836,0.03888888888888889
IRM,0.03157894736842105,0.02777777777777778,0.02,0.03061224489795918,0.027777777777777776
EQR,0.02631578947368421,0.016666666666666666,0.015,0.02040816326530612,0.02222222222222222
VTR,0.021052631578947368,0.03333333333333333,0.01,0.02040816326530612,0.016666666666666663
FRT,0.021052631578947368,0.016666666666666666,0.04,0.02040816326530612,0.02222222222222222
BXP,0.015789473684210523,0.005555555555555556,0.015,0.01020408163265306,0.01111111111111111
SPG,0.015789473684210523,0.005555555555555556,0.02,0.01020408163265306,0.005555555555555555
