Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NEE,0.13541666666666666,0.1473684210526316,0.1263157894736842,0.13,0.1297297297297297
CEG,0.08333333333333333,0.09473684210526315,0.0631578947368421,0.09,0.048648648648648644
XEL,0.07291666666666667,0.05789473684210526,0.0631578947368421,0.055,0.06486486486486485
AWK,0.05208333333333333,0.0736842105263158,0.09473684210526315,0.05,0.05405405405405406
DUK,0.07291666666666667,0.05263157894736842,0.042105263157894736,0.07,0.05405405405405406
SO,0.06249999999999999,0.05263157894736842,0.042105263157894736,0.07,0.048648648648648644
AEP,0.06249999999999999,0.0631578947368421,0.05263157894736842,0.06,0.07027027027027027
SRE,0.05208333333333333,0.06842105263157894,0.08421052631578947,0.07,0.08108108108108107
WEC,0.05208333333333333,0.0631578947368421,0.0736842105263158,0.055,0.07567567567567568
PPL,0.041666666666666664,0.0368421052631579,0.02631578947368421,0.015,0.02702702702702703
FE,0.020833333333333332,0.015789473684210523,0.02631578947368421,0.01,0.02162162162162162
ETR,0.041666666666666664,0.03157894736842105,0.03157894736842105,0.045,0.04324324324324324
D,0.041666666666666664,0.042105263157894736,0.03157894736842105,0.045,0.03783783783783784
PEG,0.041666666666666664,0.0368421052631579,0.03157894736842105,0.05,0.02702702702702703
ES,0.031249999999999997,0.042105263157894736,0.05263157894736842,0.04,0.059459459459459456
CNP,0.031249999999999997,0.03157894736842105,0.0368421052631579,0.04,0.03783783783783784
CMS,0.031249999999999997,0.02631578947368421,0.03157894736842105,0.02,0.02162162162162162
ATO,0.031249999999999997,0.02631578947368421,0.0368421052631579,0.04,0.04324324324324324
LNT,0.020833333333333332,0.021052631578947368,0.03157894736842105,0.03,0.03243243243243243
NI,0.020833333333333332,0.015789473684210523,0.021052631578947368,0.015,0.02162162162162162
