Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMZN,0.18,0.19,0.15238095238095234,0.17,0.16
TSLA,0.1,0.13,0.09523809523809522,0.12,0.12
HD,0.11,0.1,0.08571428571428569,0.1,0.1
MCD,0.09,0.08,0.07619047619047617,0.08,0.09
NKE,0.07,0.07,0.06666666666666665,0.08,0.07
SBUX,0.07,0.07,0.05714285714285713,0.07,0.07
LOW,0.06,0.06,0.06666666666666665,0.07,0.07
BKNG,0.06,0.06,0.06666666666666665,0.06,0.06
TJX,0.05,0.05,0.05714285714285713,0.06,0.06
ROST,0.05,0.05,0.04761904761904761,0.05,0.05
YUM,0.04,0.04,0.04761904761904761,0.04,0.04
DHI,0.04,0.03,0.04761904761904761,0.03,0.04
MAR,0.03,0.03,0.04761904761904761,0.03,0.03
ORLY,0.03,0.02,0.04761904761904761,0.02,0.02
CMG,0.02,0.02,0.038095238095238085,0.02,0.02
