Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LLY,0.15,0.16346153846153844,0.16,0.15,0.15
UNH,0.12,0.12499999999999997,0.13,0.12,0.13
TMO,0.11,0.09615384615384613,0.1,0.1,0.1
ABT,0.07,0.0769230769230769,0.07,0.08,0.08
VRTX,0.07,0.06730769230769229,0.09,0.09,0.08
ISRG,0.07,0.06730769230769229,0.08,0.07,0.07
REGN,0.06,0.057692307692307675,0.07,0.07,0.07
SYK,0.06,0.057692307692307675,0.06,0.06,0.06
CI,0.06,0.057692307692307675,0.05,0.06,0.05
DHR,0.06,0.057692307692307675,0.05,0.06,0.05
MRK,0.05,0.048076923076923066,0.04,0.05,0.05
HUM,0.04,0.03846153846153845,0.03,0.04,0.04
MCK,0.03,0.028846153846153837,0.03,0.03,0.03
JNJ,0.03,0.019230769230769225,0.02,0.01,0.02
ELV,0.02,0.03846153846153845,0.02,0.01,0.02
