Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
HON,0.1,0.07272727272727271,0.1,0.08928571428571426,0.0818181818181818
UNP,0.08,0.08181818181818179,0.08,0.07142857142857141,0.06363636363636364
LMT,0.075,0.09090909090909088,0.08,0.07142857142857141,0.09090909090909091
CAT,0.09,0.07272727272727271,0.09,0.08035714285714284,0.07272727272727272
RTX,0.07,0.06363636363636363,0.07,0.062499999999999986,0.06363636363636364
DE,0.08,0.08181818181818179,0.07,0.07142857142857141,0.07272727272727272
PH,0.065,0.07272727272727271,0.08,0.062499999999999986,0.054545454545454536
ETN,0.085,0.08181818181818179,0.07,0.07142857142857141,0.06363636363636364
NOC,0.06,0.06363636363636363,0.07,0.062499999999999986,0.07272727272727272
ROK,0.05,0.06363636363636363,0.06,0.053571428571428555,0.045454545454545456
WM,0.075,0.06363636363636363,0.07,0.062499999999999986,0.07272727272727272
GWW,0.05,0.05454545454545453,0.05,0.062499999999999986,0.045454545454545456
CARR,0.045,0.04545454545454544,0.05,0.053571428571428555,0.054545454545454536
TDG,0.04,0.04545454545454544,0.04,0.062499999999999986,0.07272727272727272
FDX,0.035,0.04545454545454544,0.02,0.062499999999999986,0.07272727272727272
