Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
PLD,0.13,0.11818181818181815,0.13636363636363633,0.12727272727272726,0.11818181818181815
EQIX,0.12,0.10909090909090906,0.12727272727272726,0.10909090909090906,0.10909090909090906
PSA,0.1,0.08181818181818179,0.09999999999999998,0.07272727272727271,0.09090909090909088
WELL,0.09,0.07272727272727271,0.08181818181818179,0.08181818181818179,0.08181818181818179
AVB,0.08,0.06363636363636363,0.05454545454545453,0.05454545454545453,0.07272727272727271
SPG,0.08,0.07272727272727271,0.07272727272727271,0.07272727272727271,0.07272727272727271
DLR,0.07,0.08181818181818179,0.08181818181818179,0.07272727272727271,0.07272727272727271
O,0.07,0.06363636363636363,0.06363636363636363,0.06363636363636363,0.06363636363636363
EXR,0.06,0.05454545454545453,0.036363636363636355,0.05454545454545453,0.06363636363636363
ARE,0.06,0.04545454545454544,0.04545454545454544,0.05454545454545453,0.05454545454545453
CCI,0.05,0.05454545454545453,0.05454545454545453,0.05454545454545453,0.04545454545454544
INVH,0.03,0.036363636363636355,0.027272727272727264,0.04545454545454544,0.027272727272727264
AMT,0.03,0.08181818181818179,0.06363636363636363,0.07272727272727271,0.05454545454545453
EQR,0.02,0.036363636363636355,0.027272727272727264,0.027272727272727264,0.036363636363636355
VTR,0.01,0.027272727272727264,0.027272727272727264,0.036363636363636355,0.036363636363636355
