Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NEE,0.14,0.16,0.1372549019607843,0.15,0.17
SO,0.11,0.12,0.10784313725490194,0.13,0.12
DUK,0.1,0.1,0.0980392156862745,0.12,0.11
SRE,0.1,0.08,0.07843137254901959,0.1,0.09
XEL,0.08,0.08,0.07843137254901959,0.09,0.08
WEC,0.08,0.07,0.06862745098039215,0.08,0.07
PEG,0.07,0.07,0.06862745098039215,0.07,0.07
ES,0.07,0.06,0.05882352941176469,0.06,0.06
ATO,0.06,0.06,0.05882352941176469,0.05,0.05
CNP,0.06,0.05,0.04901960784313725,0.04,0.05
NI,0.05,0.04,0.04901960784313725,0.03,0.04
AWK,0.03,0.04,0.039215686274509796,0.03,0.03
PNW,0.02,0.03,0.029411764705882346,0.02,0.03
AEP,0.02,0.02,0.039215686274509796,0.02,0.01
DTE,0.01,0.02,0.039215686274509796,0.01,0.02
