Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
XOM,0.14054054054054055,0.11538461538461538,0.13,0.11,0.13131313131313133
CVX,0.11891891891891893,0.10576923076923077,0.1,0.09,0.10101010101010101
COP,0.08648648648648649,0.08653846153846154,0.09,0.09,0.0707070707070707
EOG,0.08108108108108109,0.07692307692307693,0.08,0.08,0.0707070707070707
SLB,0.06486486486486487,0.06730769230769232,0.06,0.07,0.06060606060606061
OXY,0.05945945945945946,0.06730769230769232,0.06,0.07,0.06060606060606061
VLO,0.054054054054054064,0.05769230769230769,0.055,0.06,0.050505050505050504
MPC,0.054054054054054064,0.05769230769230769,0.055,0.06,0.050505050505050504
PSX,0.04864864864864865,0.04807692307692308,0.05,0.05,0.045454545454545456
HES,0.043243243243243246,0.04807692307692308,0.05,0.05,0.045454545454545456
HAL,0.03783783783783785,0.038461538461538464,0.04,0.04,0.04040404040404041
FANG,0.03783783783783785,0.038461538461538464,0.04,0.04,0.04040404040404041
DVN,0.032432432432432434,0.038461538461538464,0.035,0.04,0.04040404040404041
WMB,0.032432432432432434,0.028846153846153844,0.03,0.03,0.030303030303030304
KMI,0.027027027027027032,0.028846153846153844,0.03,0.03,0.030303030303030304
CTRA,0.021621621621621623,0.019230769230769232,0.025,0.02,0.030303030303030304
APA,0.016216216216216217,0.019230769230769232,0.02,0.02,0.025252525252525252
BKR,0.016216216216216217,0.019230769230769232,0.02,0.02,0.025252525252525252
OKE,0.016216216216216217,0.019230769230769232,0.02,0.02,0.025252525252525252
EQT,0.010810810810810811,0.019230769230769232,0.01,0.01,0.025252525252525252
