Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AAPL,0.1,0.13,0.16326530612244897,0.10152284263959392,0.13756613756613756
MSFT,0.1,0.13,0.16326530612244897,0.1116751269035533,0.13756613756613756
NVDA,0.09,0.11,0.12244897959183672,0.12182741116751268,0.10582010582010581
AVGO,0.08,0.08,0.08163265306122448,0.08121827411167513,0.08465608465608465
AMD,0.06,0.06,0.06122448979591836,0.06091370558375634,0.06349206349206349
CRM,0.06,0.05,0.04081632653061224,0.06091370558375634,0.05291005291005291
ADBE,0.06,0.05,0.04081632653061224,0.05583756345177665,0.05291005291005291
ACN,0.05,0.04,0.025510204081632654,0.05076142131979696,0.047619047619047616
INTU,0.05,0.04,0.03061224489795918,0.04568527918781726,0.047619047619047616
ORCL,0.05,0.04,0.02040816326530612,0.020304568527918784,0.042328042328042326
NOW,0.05,0.04,0.04081632653061224,0.04568527918781726,0.037037037037037035
CDNS,0.04,0.03,0.03061224489795918,0.03553299492385787,0.031746031746031744
SNPS,0.04,0.03,0.03061224489795918,0.03553299492385787,0.031746031746031744
ANET,0.04,0.03,0.025510204081632654,0.03045685279187817,0.026455026455026454
KLAC,0.03,0.03,0.02040816326530612,0.03045685279187817,0.021164021164021163
MCHP,0.03,0.03,0.01530612244897959,0.020304568527918784,0.021164021164021163
FTNT,0.02,0.02,0.025510204081632654,0.020304568527918784,0.015873015873015872
PANW,0.02,0.02,0.03061224489795918,0.04060913705583757,0.015873015873015872
TXN,0.02,0.02,0.01530612244897959,0.020304568527918784,0.015873015873015872
CSCO,0.01,0.02,0.01530612244897959,0.010152284263959392,0.010582010582010581
