Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
GOOGL,0.25,0.19801980198019803,0.19900497512437815,0.19607843137254902,0.19801980198019803
META,0.2,0.1782178217821782,0.17910447761194032,0.1764705882352941,0.1782178217821782
NFLX,0.15,0.1485148514851485,0.1492537313432836,0.11764705882352941,0.1485148514851485
DIS,0.1,0.09900990099009901,0.09950248756218907,0.09803921568627451,0.09900990099009901
TMUS,0.08,0.07920792079207921,0.07960199004975126,0.0784313725490196,0.07920792079207921
CMCSA,0.07,0.06930693069306931,0.06965174129353235,0.06862745098039216,0.06930693069306931
TTWO,0.05,0.04950495049504951,0.05970149253731344,0.058823529411764705,0.0594059405940594
VZ,0.03,0.039603960396039604,0.04975124378109454,0.049019607843137254,0.04950495049504951
CHTR,0.02,0.0297029702970297,0.03980099502487563,0.0392156862745098,0.039603960396039604
EA,0.02,0.0297029702970297,0.02985074626865672,0.0392156862745098,0.034653465346534656
PARA,0.01,0.019801980198019802,0.019900497512437814,0.029411764705882353,0.01485148514851485
WBD,0.01,0.019801980198019802,0.009950248756218907,0.0196078431372549,0.01485148514851485
LYV,0.01,0.019801980198019802,0.0049751243781094535,0.00980392156862745,0.0049504950495049506
T,0.0,0.009900990099009901,0.0049751243781094535,0.00980392156862745,0.0049504950495049506
FOXA,0.0,0.009900990099009901,0.0049751243781094535,0.00980392156862745,0.0049504950495049506
