,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,XOM,0.13636363636363635,0.13636363636363635,0.18,0.17307692307692302,0.2
1,CVX,0.10909090909090907,0.1272727272727273,0.15,0.1442307692307692,0.15
2,COP,0.09090909090909091,0.10909090909090907,0.12,0.11538461538461535,0.12
3,SLB,0.07272727272727272,0.09090909090909091,0.1,0.0769230769230769,0.1
4,HAL,0.06363636363636364,0.07272727272727272,0.07,0.057692307692307675,0.08
5,MPC,0.09090909090909091,0.0818181818181818,0.08,0.06730769230769229,0.07
6,PSX,0.07272727272727272,0.07272727272727272,0.06,0.057692307692307675,0.06
7,EOG,0.09090909090909091,0.09090909090909091,0.09,0.08653846153846151,0.07
8,OXY,0.07272727272727272,0.054545454545454536,0.07,0.06730769230769229,0.06
9,DVN,0.045454545454545456,0.045454545454545456,0.04,0.03846153846153845,0.03
10,VLO,0.045454545454545456,0.045454545454545456,0.03,0.028846153846153837,0.03
11,BKR,0.027272727272727268,0.03636363636363636,0.01,0.024038461538461533,0.02
12,HES,0.03636363636363636,0.01818181818181818,0.0,0.024038461538461533,0.01
13,WMB,0.027272727272727268,0.00909090909090909,0.0,0.019230769230769225,0.0
14,APA,0.01818181818181818,0.00909090909090909,0.0,0.019230769230769225,0.0
