Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
HON,0.08181818181818179,0.1,0.08,0.0818181818181818,0.07272727272727272
UNP,0.07272727272727271,0.08,0.07,0.07727272727272727,0.09090909090909091
RTX,0.06363636363636363,0.07,0.07,0.06363636363636364,0.06363636363636364
CAT,0.09090909090909088,0.105,0.1,0.09090909090909091,0.0818181818181818
DE,0.08181818181818179,0.095,0.1,0.08636363636363635,0.09090909090909091
MMM,0.04545454545454544,0.05,0.04,0.045454545454545456,0.045454545454545456
GE,0.07272727272727271,0.085,0.09,0.06818181818181818,0.07272727272727272
LMT,0.09090909090909088,0.12,0.08,0.07727272727272727,0.0818181818181818
NOC,0.06363636363636363,0.08,0.08,0.06818181818181818,0.06363636363636364
PH,0.05454545454545453,0.055,0.06,0.054545454545454536,0.054545454545454536
ROK,0.04545454545454544,0.04,0.06,0.05909090909090909,0.045454545454545456
FDX,0.05454545454545453,0.045,0.06,0.049999999999999996,0.07272727272727272
ITW,0.04545454545454544,0.035,0.05,0.0409090909090909,0.045454545454545456
UPS,0.07272727272727271,0.03,0.04,0.045454545454545456,0.07272727272727272
BA,0.06363636363636363,0.01,0.02,0.09090909090909091,0.045454545454545456
