Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMZN,0.1363636363636363,0.1388888888888888,0.1442307692307692,0.131578947368421,0.1442307692307692
TSLA,0.109090909090909,0.1296296296296296,0.1153846153846153,0.1052631578947368,0.1153846153846153
HD,0.0909090909090909,0.0925925925925925,0.0961538461538461,0.087719298245614,0.0961538461538461
NKE,0.0727272727272727,0.074074074074074,0.0769230769230769,0.0701754385964912,0.0769230769230769
MCD,0.0727272727272727,0.0648148148148148,0.0769230769230769,0.0614035087719298,0.0769230769230769
LOW,0.0636363636363636,0.0555555555555555,0.0673076923076923,0.0614035087719298,0.0576923076923076
SBUX,0.0636363636363636,0.0555555555555555,0.0673076923076923,0.0526315789473684,0.048076923076923
BKNG,0.0454545454545454,0.0462962962962962,0.0576923076923076,0.043859649122807,0.048076923076923
EBAY,0.0272727272727272,0.037037037037037,0.0384615384615384,0.0350877192982456,0.0288461538461538
GM,0.0272727272727272,0.0277777777777777,0.0384615384615384,0.0350877192982456,0.0384615384615384
F,0.0272727272727272,0.0277777777777777,0.0384615384615384,0.0263157894736842,0.0384615384615384
CMG,0.0363636363636363,0.037037037037037,0.0288461538461538,0.043859649122807,0.0288461538461538
RL,0.0181818181818181,0.0185185185185185,0.0192307692307692,0.0263157894736842,0.0192307692307692
YUM,0.0272727272727272,0.0277777777777777,0.0192307692307692,0.0263157894736842,0.0192307692307692
ULTA,0.0363636363636363,0.0277777777777777,0.0192307692307692,0.0350877192982456,0.0384615384615384
CZR,0.0181818181818181,0.0185185185185185,0.0192307692307692,0.0175438596491228,0.0192307692307692
TJX,0.0363636363636363,0.037037037037037,0.0192307692307692,0.0350877192982456,0.0288461538461538
ROST,0.0272727272727272,0.0277777777777777,0.0192307692307692,0.0263157894736842,0.0192307692307692
MAR,0.0272727272727272,0.0277777777777777,0.0192307692307692,0.0263157894736842,0.0288461538461538
AZO,0.0363636363636363,0.0277777777777777,0.0192307692307692,0.0526315789473684,0.0288461538461538
